ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE,G_LOCATION,G_LAT,G_LNG
6994300,1800,4,232.0,200.0,299000,5/19/2017,616.0,5.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6992629,1800,3,130.0,,157000,5/18/2017,279.0,2.0,House,Schaarbeeklei   1800    Vilvoorde ,Vilvoorde,"Schaarbeeklei, 1800 Vilvoorde, Belgium",50.9158446,4.4219462
6989802,1800,3,,,270000,5/17/2017,1084.0,0.0,House,Lange  Molensstraat  47  box201 1800    Vilvoorde ,Vilvoorde,,,
6988899,1800,3,156.0,250.0,279000,5/16/2017,1242.0,15.0,House,Bloemenlaan  106 1800    Peutie ,Vilvoorde,"Bloemenlaan 106, 1800 Vilvoorde, Belgium",50.9271106,4.4520401
6987654,1800,3,,221.0,275000,5/16/2017,455.0,0.0,House,Mechelsesteenweg  244 1800    Vilvoorde ,Vilvoorde,"Mechelsesteenweg 244, 1800 Vilvoorde, Belgium",50.9356746,4.4286921
6985994,1800,3,167.0,,319000,5/15/2017,533.0,6.0,Apartment,Leuvensestraat  51 1800    Vilvoorde ,Vilvoorde,"Leuvensestraat 51, 1800 Vilvoorde, Belgium",50.9281689,4.4271777
6985796,1800,3,125.0,223.0,285000,5/15/2017,982.0,9.0,House,Nijverheidsstraat  365 1800    Vilvoorde ,Vilvoorde,"Nijverheidsstraat 365, 1800 Vilvoorde, Belgium",50.9368717,4.4399803
6985768,1800,4,145.0,80.0,235000,5/15/2017,883.0,3.0,House,Sluisstraat   1800    Vilvoorde ,Vilvoorde,"Sluisstraat, 1800 Vilvoorde, Belgium",50.917685,4.42037
6984951,1800,5,225.0,281.0,325000,5/14/2017,1575.0,12.0,House,Joost  van  den  Vondelstraat  40  box1800 1800    Vilvoorde ,Vilvoorde,,,
6984697,1800,3,220.0,926.0,450000,5/14/2017,1686.0,16.0,House,Beneluxlaan  13 1800    Vilvoorde  Drie  Fonteinen ,Vilvoorde,"Beneluxlaan 13, 1800 Vilvoorde, Belgium",50.915594,4.4071148
6984327,1800,5,400.0,26100.0,1100000,5/13/2017,730.0,3.0,House,Driestenbosstraat  11 1800    Vilvoorde ,Vilvoorde,"Driestenbosstraat 11, 1800 Vilvoorde, Belgium",50.9476088,4.480716
6982565,1800,3,,422.0,265000,5/12/2017,857.0,4.0,House,GROENSTRAAT  25 1800    Vilvoorde ,Vilvoorde,"Groenstraat 25, 1800 Vilvoorde, Belgium",50.9302353,4.4316574
