ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE
6703060,"1120",4,200,277,330000,11/10/2016,87,0,"House","Rue  Bruyn  72 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6700209,"1120",3,175,143,319000,11/9/2016,,,"Apartment","1120    Bruxelles12 ","Neder-Over-Heembeek"
6698762,"1120",3,150,238,365000,11/10/2016,,,"House","Trassersweg  421 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6693079,"1120",2,65,,179000,11/4/2016,,,"Apartment","1120    NEDEROVERHEEMBEEK  BRU ","Neder-Over-Heembeek"
6691157,"1120",3,416,,485000,11/3/2016,,,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6688348,"1120",2,82,,169000,11/2/2016,49,0,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6680309,"1120",2,109,,220000,10/26/2016,8,0,"Apartment","Rue  SaintNicolas  12 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6676413,"1120",3,100,,245000,10/24/2016,,,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6668295,"1120",5,250,205,375000,10/19/2016,,,"House","rue  des  fanes  55 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6652888,"1120",2,99,,248000,10/14/2016,36,0,"Apartment","Kraatveldstraat  22 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6650808,"1120",2,80,,179000,10/13/2016,169,1,"Apartment","Rue  de  Lombartzyde  27 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6650175,"1120",2,97,,215000,10/13/2016,,,"Apartment","Avenue  des  Croix  de  Guerre  193  box5 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6643726,"1120",2,90,,275000,10/10/2016,,,"Apartment","1120    NEDEROVERHEMBEEK ","Neder-Over-Heembeek"
6637737,"1120",2,80,,229000,11/1/2016,,,"Apartment","rue  des  Faines  223 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6635616,"1120",2,71,,149500,10/5/2016,,,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6633490,"1120",2,105,,239000,10/4/2016,,,"Apartment","Oorlogskruisenlaan  297 1120    NEDEROVERHEEMBEEK  BRU ","Neder-Over-Heembeek"
6629197,"1120",4,300,2800,575000,10/1/2016,,,"House",,"Neder-Over-Heembeek"
