ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE,G_LOCATION,G_LAT,G_LNG
6727670,1020,4,528.0,430.0,550000,11/26/2016,317.0,1.0,Building,Rue  Gustave  Schildknecht  25  box1 1020    Laeken ,Laeken,,,
6726733,1020,4,230.0,170.0,450000,11/25/2016,616.0,18.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6726384,1020,4,,195.0,350000,11/25/2016,710.0,13.0,House,Avenue  Prudent  Bols  79 1020    Bruxelles ,Laeken,"Avenue Prudent Bols 79, 1020 Bruxelles, Belgium",50.8765464,4.341372
6724293,1020,4,209.0,,319000,11/24/2016,897.0,7.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6723643,1020,3,139.0,,290000,11/24/2016,44.0,0.0,Apartment,de  Smet  de  Naeyer  504  box0 1020    Laeken ,Laeken,,,
6718220,1020,4,283.0,,765000,11/21/2016,70.0,0.0,House,Bonenkruidlaan    Avenue  de  la  Sarriette  7072 1020    Laeken ,Laeken,,,
6715372,1020,3,110.0,70.0,235000,11/19/2016,163.0,0.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6714658,1020,3,165.0,,439000,11/18/2016,65.0,1.0,House,Avenue  Hulderghem  30 1020    Laeken ,Laeken,"Avenue Huldergem 30, 1020 Bruxelles, Belgium",50.8993635,4.3671772
6710982,1020,5,247.0,,399000,11/16/2016,140.0,3.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6709018,1020,4,200.0,70.0,319000,11/15/2016,236.0,2.0,Apartment,1020    Bruxelles2 ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6708784,1020,4,400.0,227.0,399000,11/15/2016,134.0,3.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6706699,1020,4,,1650.0,1600000,11/14/2016,,,House,1020    Laken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6701155,1020,4,,1650.0,1600000,11/9/2016,85.0,0.0,House,1020    Laken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6700964,1020,3,171.0,,265000,11/9/2016,,,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6700340,1020,4,,200.0,590000,11/9/2016,,,House,Rue  des  Vignes  51 1020    Laeken ,Laeken,"Wijngaardenstraat 51, 1020 Brussel, Belgium",50.8815236,4.357945
6698646,1020,3,270.0,,445000,11/8/2016,60.0,0.0,Apartment,Rue  Antoine  Clesse 1020    Laeken ,Laeken,"Rue Antoine Clesse, 1020 Bruxelles, Belgium",50.8717666,4.3429214
6691304,1020,5,257.0,281.0,350000,11/4/2016,682.0,18.0,House,avenue  du  Fusain  48 1020    Laeken ,Laeken,"Avenue du Fusain 48, 1020 Bruxelles, Belgium",50.8946766,4.3647754
6688771,1020,4,,,156200,11/2/2016,2747.0,43.0,House,Rue  MarieChristine  155191 1020    Laeken ,Laeken,"Rue Marie-Christine, 1020 Bruxelles, Belgium",50.8754797,4.3538613
6676109,1020,4,400.0,1200.0,695000,10/24/2016,179.0,1.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6672734,1020,3,128.0,63.0,234900,10/21/2016,538.0,4.0,House,1020    Bruxelles2 ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6663846,1020,3,110.0,122.0,1200,10/17/2016,478.0,0.0,House,HEYZEL    SQUARE  PALFYN   1020    Laeken ,Laeken,,,
6649864,1020,3,110.0,,275000,10/13/2016,123.0,1.0,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6649825,1020,3,130.0,,295000,10/13/2016,,,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6648361,1020,3,150.0,85.0,278000,10/13/2016,330.0,1.0,House,Tuinbouwersstraat  70 1020    Laken ,Laeken,"Tuinbouwersstraat 70, 1020 Brussel, Belgium",50.8827108,4.352073
6647903,1020,5,275.0,,620000,10/12/2016,54.0,1.0,Apartment,Avenue  Houba  de  Strooper  162 1020    Laeken ,Laeken,"Houba de Strooperlaan 162, 1020 Brussel, Belgium",50.8898691,4.3366544
6647834,1020,5,245.0,210.0,455000,10/17/2016,,,House,,Laeken,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488
6645256,1020,3,,117.0,247000,10/11/2016,2117.0,33.0,Apartment,Rue  lix  Sterckx   1020    Laeken ,Laeken,,,
6643609,1020,3,105.0,102.0,274000,10/10/2016,413.0,9.0,House,1020    Bruxelles2 ,Laeken,,,
6635613,1020,4,113.0,,275000,10/5/2016,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6634282,1020,4,344.0,1142.0,620000,10/4/2016,206.0,5.0,House,All  des  Moutons  140 1020    Bruxelles ,Laeken,"Schapenweg 140, 1020 Brussel, Belgium",50.8992176,4.3692048
6631956,1020,4,310.0,220.0,350000,10/3/2016,,,House,1020    BRUXELLES ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6631842,1020,3,171.0,,340000,10/3/2016,,,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6629928,1020,3,170.0,,349000,10/2/2016,204.0,7.0,House,Gustave  Schildknechtstraat  3311 1020    Laken ,Laeken,"Rue Gustave Schildknecht, 1020 Bruxelles, Belgium",50.8735302,4.3476574
6619052,1020,5,283.0,220.0,350000,9/26/2016,,,House,1020    Brussel   ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6617850,1020,3,125.0,,299000,9/24/2016,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6616589,1020,5,260.0,215.0,395000,9/23/2016,157.0,7.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6608787,1020,4,220.0,,490000,9/19/2016,208.0,1.0,Apartment,1020    BRUXELLES ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6606219,1020,3,,,235000,9/17/2016,109.0,1.0,Apartment,Rue  Steyls  77 1020    Laeken ,Laeken,"Rue Steyls 77, 1020 Bruxelles, Belgium",50.8789309,4.3412644
6604986,1020,3,,120.0,499000,9/16/2016,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6598990,1020,4,400.0,227.0,429000,9/14/2016,,,House,Rue  JacobsFontaine   1020    Laeken ,Laeken,"Rue Jacobs-Fontaine, 1020 Bruxelles, Belgium",50.8781012,4.342304
6598605,1020,3,,185.0,375000,9/14/2016,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
6597554,1020,4,296.0,802.0,875000,9/13/2016,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
